StateID,Year,Quarter,TotalProd,TaxableBottlesCansProd,TaxableKegsProd,TaxablePremUseProd,TaxFreeExportProd,TaxFreePremUseProd,StocksOnHand
IA,2017,Q3,19766.73,1605.05,3628.03,12490.4,0.0,333.49,6852.93
KS,2017,Q3,12273.82,,2475.79,3381.73,0.0,,2136.1
KY,2017,Q3,42611.94,32049.17,8413.89,7079.49,,236.07,25940.04
LA,2017,Q3,40154.59,,10666.98,4265.27,,67.94,
ME,2017,Q3,90657.0,40456.4,34015.77,11781.84,0.0,360.47,29681.83
MD,2017,Q3,62841.38,26577.87,19060.28,8434.58,,693.41,23848.22
MA,2017,Q3,152420.29,66545.06,42776.02,22801.72,,758.48,42271.09
MI,2017,Q3,367527.27,210181.46,84675.06,41489.34,,1743.9,96387.76
MN,2017,Q3,185071.31,92756.87,44857.21,17967.8,0.0,315.33,77954.31
MS,2017,Q3,5462.07,,,2935.73,,,1282.45
MO,2017,Q3,,,,7163.0,,919.04,
MT,2017,Q3,48000.93,19849.2,13205.79,11799.13,0.0,496.13,17395.23
NE,2017,Q3,14373.86,3862.38,3645.54,5652.99,,,3569.25
NV,2017,Q3,11553.93,2481.27,3234.89,5306.59,0.0,,2765.98
NH,2017,Q3,,,,7386.48,,168.23,
NJ,2017,Q3,,,,14575.06,,538.77,
NM,2017,Q3,28335.24,11229.15,9400.47,4908.63,,283.31,7625.23
NY,2017,Q3,2493520.9,2027881.22,142965.07,23033.22,44382.57,747.99,705125.62
NC,2017,Q3,331766.94,231904.36,71044.59,33534.63,,200.19,120749.83
ND,2017,Q3,3420.92,,,1466.54,0.0,,761.42
OH,2017,Q3,5223273.79,4562690.12,362154.79,21239.22,,1135.17,973948.99
OK,2017,Q3,8047.01,,1711.14,2457.57,0.0,,3186.92
OR,2017,Q3,458189.11,264750.64,111818.24,41488.84,,1877.71,115244.94
PA,2017,Q3,1529561.51,1017050.9,245846.85,22793.5,,1782.3,461888.2
RI,2017,Q3,10004.81,5998.71,2380.58,1357.62,0.0,,2264.59
SC,2017,Q3,20292.83,5224.03,5572.85,7930.01,,218.56,12039.04
SD,2017,Q3,3563.8,,,2148.91,0.0,,1465.93
TN,2017,Q3,409954.08,333323.27,16629.21,10529.43,,951.57,111662.88
TX,2017,Q3,5352423.73,4381504.13,256098.75,34834.56,,3037.39,1070670.92
UT,2017,Q3,63532.84,36949.73,14135.47,2165.61,0.0,,16017.9
VT,2017,Q3,127887.68,63867.73,20356.41,3971.13,0.0,,27240.62
